Vehicle Type/Size, Vehicle Color, Vehicle Movement Direction, Vehicle Speed (km/h)
car,red,down,79.57764943440755
surfboard,blue,down,69.56203990512424
truck,white,down,65.0473333288122
truck,white,down,43.2798957824707
car,red,down,79.57764943440755
surfboard,blue,down,69.56203990512424
truck,white,down,65.0473333288122
truck,white,down,43.2798957824707
truck,blue,up,n.a.
car,black,down,28.379633161756725
car,green,down,39.80228741963705
car,red,down,79.57764943440755
surfboard,blue,down,69.56203990512424
truck,white,down,65.0473333288122
truck,white,down,43.2798957824707
truck,blue,up,n.a.
car,black,down,28.379633161756725
car,green,down,39.80228741963705
bus,green,down,n.a.
car,white,down,n.a.
car,black,down,3.508807363964262
car,green,down,30.74636459350586
truck,green,down,n.a.
car,black,down,n.a.
car,black,down,14.671570062637329
car,black,down,9.47573184967041
car,red,down,4.378175735473633
truck,green,down,8.807717050824845
truck,green,down,n.a.
traffic light,green,down,n.a.
car,green,down,n.a.
bus,green,down,n.a.
car,white,down,n.a.
car,black,down,3.508807363964262
car,green,down,30.74636459350586
truck,green,down,n.a.
car,black,down,n.a.
car,black,down,14.671570062637329
car,black,down,9.47573184967041
car,red,down,4.378175735473633
truck,green,down,8.807717050824845
truck,green,down,n.a.
traffic light,green,down,n.a.
car,green,down,n.a.
car,white,up,-12.809324264526367
